SA12018_code	DHB2015_name
7000819	Northland
7000838	Northland
7000837	Northland
7000820	Northland
7000844	Northland
7000839	Northland
7000840	Northland
7000842	Northland
7000827	Northland
7000826	Northland
7000828	Northland
7000855	Northland
7000829	Northland
7000830	Northland
7000857	Northland
7000866	Northland
7000868	Northland
7000869	Northland
7000871	Northland
7000870	Northland
7000874	Northland
7000872	Northland
7000873	Northland
7000907	Northland
7000878	Northland
7000875	Northland
7000877	Northland
7000881	Northland
7000880	Northland
7000876	Northland
7000879	Northland
7000901	Northland
7000899	Northland
7000900	Northland
7000902	Northland
7000904	Northland
7000905	Northland
7000882	Northland
7000886	Northland
7000910	Northland
7000889	Northland
7000890	Northland
7000888	Northland
7000887	Northland
7000892	Northland
7000891	Northland
7000911	Northland
7000912	Northland
7000893	Northland
7001036	Northland
7001038	Northland
7001039	Northland
7001043	Northland
7001041	Northland
7001045	Northland
7001044	Northland
7001021	Northland
7001022	Northland
7001023	Northland
7001025	Northland
7001026	Northland
7001028	Northland
7001027	Northland
7001024	Northland
7001019	Northland
7001030	Northland
7001031	Northland
7001020	Northland
7001040	Northland
7001029	Northland
7001033	Northland
7001032	Northland
7001034	Northland
7000991	Northland
7000990	Northland
7000988	Northland
7000993	Northland
7000992	Northland
7000986	Northland
7000987	Northland
7000984	Northland
7000985	Northland
7001008	Northland
7000994	Northland
7001009	Northland
7001012	Northland
7001014	Northland
7001017	Northland
7001015	Northland
7001011	Northland
7001010	Northland
7001013	Northland
7001006	Northland
7001007	Northland
7000998	Northland
7001004	Northland
7001001	Northland
7001005	Northland
7000996	Northland
7000995	Northland
7000999	Northland
7000997	Northland
7001002	Northland
7001003	Northland
7001000	Northland
7001053	Northland
7001047	Northland
7001051	Northland
7001046	Northland
7001049	Northland
7001048	Northland
7001050	Northland
7001052	Northland
7001054	Northland
7001056	Northland
7001055	Northland
7001064	Northland
7001069	Northland
7001063	Northland
7001068	Northland
7001065	Northland
7001057	Northland
7001058	Northland
7001059	Northland
7001062	Northland
7001066	Northland
7000895	Northland
7001075	Northland
7001078	Northland
7001079	Northland
7001076	Northland
7001073	Northland
7001077	Northland
7001070	Northland
7001072	Northland
7001081	Northland
7001088	Northland
7001080	Northland
7001071	Northland
7001082	Northland
7001105	Northland
7001101	Northland
7001103	Northland
7001106	Northland
7001099	Northland
7001102	Northland
7001107	Northland
7001108	Northland
7001110	Northland
7001109	Northland
7001111	Northland
7001091	Northland
7001092	Northland
7001095	Northland
7001100	Northland
7001113	Northland
7001093	Northland
7001096	Northland
7001116	Northland
7001114	Northland
7001094	Northland
7001090	Northland
7001104	Northland
7001084	Northland
7001083	Northland
7001089	Northland
7001087	Northland
7001144	Waitemata
7001146	Waitemata
7001142	Waitemata
7001141	Waitemata
7001137	Waitemata
7001139	Waitemata
7001147	Waitemata
7001145	Waitemata
7001143	Waitemata
7001227	Waitemata
7001140	Waitemata
7001183	Waitemata
7001161	Waitemata
7001162	Waitemata
7001157	Waitemata
7001150	Waitemata
7001152	Waitemata
7001156	Waitemata
7001154	Waitemata
7001158	Waitemata
7001159	Waitemata
7001236	Waitemata
7001242	Waitemata
7001248	Waitemata
7001234	Waitemata
7001233	Waitemata
7001232	Waitemata
7001230	Waitemata
7001231	Waitemata
7001235	Waitemata
7001238	Waitemata
7001240	Waitemata
7001237	Waitemata
7001243	Waitemata
7001245	Waitemata
7001246	Waitemata
7001209	Waitemata
7001211	Waitemata
7001215	Waitemata
7001210	Waitemata
7001220	Waitemata
7001212	Waitemata
7001229	Waitemata
7001312	Waitemata
7001315	Waitemata
7001310	Waitemata
7001313	Waitemata
7001334	Waitemata
7001321	Waitemata
7001320	Waitemata
7001153	Waitemata
7001286	Waitemata
7001213	Waitemata
7001224	Waitemata
7001216	Waitemata
7001287	Waitemata
7001288	Waitemata
7001289	Waitemata
7001301	Waitemata
7001291	Waitemata
7001304	Waitemata
7001296	Waitemata
7001297	Waitemata
7001292	Waitemata
7001295	Waitemata
7001308	Waitemata
7001307	Waitemata
7001306	Waitemata
7001326	Waitemata
7001327	Waitemata
7001322	Waitemata
7001316	Waitemata
7001323	Waitemata
7001324	Waitemata
7001336	Waitemata
7001337	Waitemata
7001338	Waitemata
7001345	Waitemata
7001346	Waitemata
7001347	Waitemata
7001335	Waitemata
7001339	Waitemata
7001344	Waitemata
7001340	Waitemata
7001348	Waitemata
7001349	Waitemata
7001151	Waitemata
7001342	Waitemata
7001352	Waitemata
7001195	Waitemata
7001192	Waitemata
7001196	Waitemata
7001197	Waitemata
7001201	Waitemata
7001206	Waitemata
7001194	Waitemata
7001199	Waitemata
7001200	Waitemata
